Accession ID,Cluster,Sequence Length,NCBI ID,Protein Name,Taxonomy ID,Scientific Name,Kingdom
RLF11861,Archaeal Alba,88,gb|RLF11861.1|,DNA-binding protein [Thermoprotei archaeon],2250277,Thermoprotei archaeon,Archaea
HGW27011,Archaeal Alba,109,tpg|HGW27011.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGW37609,Archaeal Alba,93,tpg|HGW37609.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGX28017,Archaeal Alba,92,tpg|HGX28017.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
HGX34374,Archaeal Alba,93,tpg|HGX34374.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
HGY36099,Archaeal Alba,91,tpg|HGY36099.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGY36200,Archaeal Alba,153,tpg|HGY36200.1|,hypothetical protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGY57586,Archaeal Alba,99,tpg|HGY57586.1|,DNA-binding protein Alba [Nitrospirae bacterium],2026887,Nitrospirae bacterium,Bacteria
HGY75831,Archaeal Alba,90,tpg|HGY75831.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon],2026803,Candidatus Woesearchaeota archaeon,Archaea
HGZ25245,Archaeal Alba,92,tpg|HGZ25245.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HHD38279,Archaeal Alba,92,tpg|HHD38279.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HHS35575,Archaeal Alba,92,tpg|HHS35575.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
NWF87492,Archaeal Alba,92,gb|NWF87492.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
NWG11115,Archaeal Alba,92,gb|NWG11115.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
PIU60228,Archaeal Alba,92,gb|PIU60228.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon CG07_land_8_20_14_0_80_47_9],1974385,Candidatus Bathyarchaeota archaeon CG07_land_8_20_14_0_80_47_9,Archaea
PMB74825,Archaeal Alba,92,gb|PMB74825.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HEH84471,Archaeal Alba,92,NA,NA,NA,NA,NA
MBT7346923,Archaeal Alba,90,gb|MBT7346923.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBT4422983,Archaeal Alba,90,gb|MBT4422983.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBT8171571,Archaeal Alba,91,gb|MBT8171571.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGZ25473,Archaeal Alba,108,tpg|HGZ25473.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGZ25767,Archaeal Alba,94,tpg|HGZ25767.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBU0757805,Archaeal Alba,93,gb|MBU0757805.1|,DNA-binding protein Alba [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MBU0792173,Archaeal Alba,89,gb|MBU0792173.1|,hypothetical protein [Gammaproteobacteria bacterium],1913989,Gammaproteobacteria bacterium,Bacteria
MBU0777792,Archaeal Alba,87,gb|MBU0777792.1|,DNA-binding protein Alba [Patescibacteria group bacterium],2052139,Patescibacteria group bacterium,Bacteria
MBU0778231,Archaeal Alba,91,gb|MBU0778231.1|,DNA-binding protein Alba [Patescibacteria group bacterium],2052139,Patescibacteria group bacterium,Bacteria
MBU0847245,Archaeal Alba,91,gb|MBU0847245.1|,DNA-binding protein Alba [Patescibacteria group bacterium],2052139,Patescibacteria group bacterium,Bacteria
MBU0761236,Archaeal Alba,116,gb|MBU0761236.1|,DNA-binding protein [Nanoarchaeota archaeon],2026764,Nanoarchaeota archaeon,Archaea
MBU0686114,Archaeal Alba,90,gb|MBU0686114.1|,DNA-binding protein Alba [Candidatus Thermoplasmatota archaeon],2806419,Candidatus Thermoplasmatota archaeon,Archaea
MBU0661940,Archaeal Alba,90,gb|MBU0661940.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
